CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,FaxNumber,WebSite,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,YearRoundYN,FederalDFCDistrictID,Latitude,Longitude,AdmFName,AdmLName,LastUpDate,Multilingual
1100176066534,0691051,No Data,Closed,Alameda,Alameda County Office of Education,Whiteford School (TMR),685 A Street,685 A St.,Hayward,94541,CA,685 A Street,685 A St.,Hayward,94541,CA,No Data,No Data,No Data,No Data,07/01/1980,06/30/1989,N,No Data,No Data,0,County Office of Education (COE),10,County Community,No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,06/24/1999,No Data
1100176072276,0691051,No Data,Closed,Alameda,Alameda County Office of Education,Alameda County Special Education,685 A Street,685 A St.,Hayward,94541,CA,685 A Street,685 A St.,Hayward,94541,CA,No Data,No Data,No Data,No Data,07/01/1980,07/24/1984,N,No Data,No Data,0,County Office of Education (COE),09,Special Education Schools (Public),No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,06/24/1999,No Data
1100176089379,0691051,No Data,Closed,Alameda,Alameda County Office of Education,Buena Vista School (Girls),2200 Fairmont Drive,2200 Fairmont Dr.,San Leandro,94578,CA,2200 Fairmont Drive,2200 Fairmont Dr.,San Leandro,94578,CA,No Data,No Data,No Data,No Data,07/01/1980,06/30/1989,N,No Data,No Data,0,County Office of Education (COE),10,County Community,No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,06/24/1999,No Data
1100176095897,0691051,No Data,Merged,Alameda,Alameda County Office of Education,Whiteford (June) School,35725 Cedar Boulevard,35725 Cedar Blvd.,Newark,94560,CA,35725 Cedar Boulevard,35725 Cedar Blvd.,Newark,94560,CA,No Data,No Data,No Data,No Data,07/01/1980,06/30/1989,N,No Data,No Data,0,County Office of Education (COE),10,County Community,No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,06/24/1999,No Data
1100176096531,0691051,No Data,Merged,Alameda,Alameda County Office of Education,School for School-Age Mothers,8151 Village Parkway,8151 Village Pkwy.,Dublin,94568,CA,8151 Village Parkway,8151 Village Pkwy.,Dublin,94568,CA,No Data,No Data,No Data,No Data,07/01/1980,06/30/1989,N,No Data,No Data,0,County Office of Education (COE),10,County Community,No Data,No Data,HS,High School,9-12,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,06/24/1999,No Data
1100176097539,0691051,No Data,Closed,Alameda,Alameda County Office of Education,Sequoia Deaf/Blind Program,685 A Street,685 A St.,Hayward,94541,CA,685 A Street,685 A St.,Hayward,94541,CA,No Data,No Data,No Data,No Data,07/01/1980,07/24/1984,N,No Data,No Data,0,County Office of Education (COE),09,Special Education Schools (Public),No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,06/24/1999,No Data
1100176097562,0691051,No Data,Merged,Alameda,Alameda County Office of Education,Burke (William P.) Special Center,612 West A Street,612 West A St.,Hayward,94541,CA,612 West A Street,612 West A St.,Hayward,94541,CA,No Data,No Data,No Data,No Data,07/01/1980,06/22/1987,N,No Data,No Data,0,County Office of Education (COE),09,Special Education Schools (Public),No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,06/24/1999,No Data
1100176098586,0691051,No Data,Closed,Alameda,Alameda County Office of Education,East County Dch,7997 Vomac Road,7997 Vomac Rd.,Dublin,94566,CA,7997 Vomac Road,7997 Vomac Rd.,Dublin,94566,CA,No Data,No Data,No Data,No Data,07/01/1980,06/30/1989,N,No Data,No Data,0,County Office of Education (COE),09,Special Education Schools (Public),No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,06/24/1999,No Data
1100176098628,0691051,No Data,Merged,Alameda,Alameda County Office of Education,La Fleche (Rock) Special Center,6925 Chabot Road,6925 Chabot Rd.,Oakland,94618,CA,6925 Chabot Road,6925 Chabot Rd.,Oakland,94618,CA,No Data,No Data,No Data,No Data,07/01/1980,06/22/1987,N,No Data,No Data,0,County Office of Education (COE),09,Special Education Schools (Public),No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,06/24/1999,No Data
1100176098636,0691051,No Data,Merged,Alameda,Alameda County Office of Education,Motta (Ronald) Special Center,40950 Chapel Way,40950 Chapel Way,Fremont,94538,CA,40950 Chapel Way,40950 Chapel Way,Fremont,94538,CA,No Data,No Data,No Data,No Data,07/01/1980,06/22/1987,N,No Data,No Data,0,County Office of Education (COE),09,Special Education Schools (Public),No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,06/24/1999,No Data
1100176106751,0691051,08672,Active,Alameda,Alameda County Office of Education,Alameda County Special Education,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136,CA,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136,CA,(510) 723-3857,No Data,(510) 670-4208,www.acoe.org,07/01/1980,No Data,N,No Data,No Data,0,County Office of Education (COE),09,Special Education Schools (Public),SPEC,Special Education School,PS,Preschool,P,No Data,N,N,N,No Data,37.658212,-122.09713,Eric,Guthertz,05/13/2026,N
1100176114896,0691051,No Data,Closed,Alameda,Alameda County Office of Education,New Village Community Public Charter East Bay,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,09/01/1997,06/30/2000,Y,0107,No Data,0,County Office of Education (COE),60,Elementary Schools (Public),No Data,No Data,ELEM,Elementary,K-4,K-5,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,08/16/2000,No Data
1316090000000,0600002,No Data,Active,Alameda,California School for the Blind (State Special Schl),No Data,500 Walnut Avenue,500 Walnut Ave.,Fremont,94536-4365,CA,500 Walnut Avenue,500 Walnut Ave.,Fremont,94536-4365,CA,(510) 794-3800,No Data,(510) 794-3813,www.csb-cde.ca.gov,No Data,No Data,No Data,No Data,No Data,31,State Special Schools,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,37.562576,-121.96563,Gina,Ouellette,03/08/2024,No Data
1316090131755,0600002,10346,Active,Alameda,California School for the Blind (State Special Schl),California School for the Blind,500 Walnut Avenue,500 Walnut Ave.,Fremont,94536-4365,CA,500 Walnut Avenue,500 Walnut Ave.,Fremont,94536-4365,CA,(510) 794-3800,No Data,(510) 794-3813,www.csb-cde.ca.gov/,07/01/1980,No Data,N,No Data,No Data,31,State Special Schools,31,State Special Schools,SSS,State Special School,ELEMHIGH,Elementary-High Combination,K-Adult,5-12,N,Y,N,No Data,37.562576,-121.96563,Shannon,Johns,03/08/2024,N
1316170000000,0600003,No Data,Active,Alameda,California School for the Deaf-Fremont (State Special Schl),No Data,39350 Gallaudet Drive,39350 Gallaudet Dr.,Fremont,94538-2308,CA,39350 Gallaudet Drive,39350 Gallaudet Dr.,Fremont,94538-2308,CA,(510) 794-3666,No Data,(510) 794-3797,www.csdeagles.com,No Data,No Data,No Data,No Data,No Data,31,State Special Schools,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,37.558956,-121.96551,Amy,Novotny,03/01/2024,No Data
1316170131763,0600003,10347,Active,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,39350 Gallaudet Drive,39350 Gallaudet Dr.,Fremont,94538-2308,CA,39350 Gallaudet Drive,39350 Gallaudet Dr.,Fremont,94538-2308,CA,(510) 794-3666,No Data,(510) 794-3797,www.csdeagles.com,07/01/1980,No Data,N,No Data,No Data,31,State Special Schools,31,State Special Schools,SSS,State Special School,ELEMHIGH,Elementary-High Combination,P-12,K-12,N,N,Y,No Data,37.558956,-121.96551,Sulghi,Hong,05/23/2025,Y
1404027200009,0601397,No Data,Closed,Alameda,Mission Valley ROC/P,"David W. Gordon,Govt. Affairs",PO Box 944272,PO Box 944272,Sacramento,94244,CA,PO Box 944272,PO Box 944272,Sacramento,94244,CA,No Data,No Data,No Data,No Data,07/01/1980,06/30/1989,N,No Data,No Data,42,Joint Powers Authority (JPA),10,County Community,No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,06/24/1999,No Data
1611190000000,0601770,No Data,Active,Alameda,Alameda Unified,No Data,2060 Challenger Dr,2060 Challenger Dr,Alameda,94501-1037,CA,2060 Challenger Dr,2060 Challenger Dr,Alameda,94501-1037,CA,(510) 337-7000,No Data,No Data,www.alamedaunified.org,No Data,No Data,No Data,No Data,No Data,54,Unified School District,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,37.782147,-122.27009,Pasquale,Scuderi,03/23/2022,No Data
1611190100818,0601770,No Data,Closed,Alameda,Alameda Unified,College Preparatory & Architecture Academy,4610 Foothill Boulevard,4610 Foothill Blvd.,Oakland,94601,CA,4610 Foothill Boulevard,4610 Foothill Blvd.,Oakland,94601,CA,No Data,No Data,No Data,No Data,08/28/2003,05/08/2003,N,No Data,No Data,54,Unified School District,66,High Schools (Public),No Data,No Data,HS,High School,8-12,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,02/09/2005,No Data
1611190106401,0601770,10547,Active,Alameda,Alameda Unified,Alameda Science and Technology Institute,555 Ralph Appezzato Memorial Parkway,555 Ralph Appezzato Memorial Pkwy.,Alameda,94501-2109,CA,555 Ralph Appezzato Memorial Parkway,555 Ralph Appezzato Memorial Pkwy.,Alameda,94501-2109,CA,(510) 748-4021,No Data,(510) 748-4121,https://asti.alamedaunified.org/,08/19/2004,No Data,N,No Data,No Data,54,Unified School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,HS,High School,9-12,9-12,N,Y,N,No Data,37.780753,-122.27930,Tracy,Corbally,05/16/2024,N
1611190111765,0601770,11549,Active,Alameda,Alameda Unified,Ruby Bridges Elementary,351 Jack London Avenue,351 Jack London Ave.,Alameda,94501-3901,CA,351 Jack London Avenue,351 Jack London Ave.,Alameda,94501-3901,CA,(510) 748-4006,No Data,(510) 748-9314,https://rubybridges.alamedaunified.org/,08/28/2006,No Data,N,No Data,No Data,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.781834,-122.28614,Juan,Flores,05/23/2025,N
